equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros
Sociedade Esportiva Palmeiras,2020,Brasil,104.55,1.83,23.6,57,8
Clube de Regatas do Flamengo,2020,Brasil,152.45,2.46,23.1,62,6
CA River Plate,2020,Argentina,136.28,3.59,25.9,38,7
CA Boca Juniors,2020,Argentina,110.28,1.75,23.5,63,7
Sport Club Internacional,2020,Brasil,59.9,1.36,25.0,44,9
São Paulo FC,2020,Brasil,77.13,1.64,23.9,47,6
Sport Club Corinthians Paulista,2020,Brasil,94.8,1.66,24.7,57,7
Santos FC,2020,Brasil,54.85,0.997,23.4,55,6
Grêmio Foot-Ball Porto Alegrense,2020,Brasil,106.6,2.13,25.8,50,5
Club Athletico Paranaense,2020,Brasil,41.48,0.669,23.6,62,4
Racing Club,2020,Argentina,50.73,1.15,25.8,44,9
CSD Defensa y Justicia,2020,Argentina,45.08,0.777,23.7,58,6
Club Libertad Asunción,2020,Paraguay,23.55,0.714,26.8,33,8
Club Cerro Porteño,2020,Paraguay,19.95,0.434,25.2,46,8
Junior de Barranquilla,2020,Colombia,25.73,0.83,27.1,31,2
Deportes Tolima,2020,Colombia,23.13,0.723,25.6,32,3
Club Nacional,2020,Uruguay,12.95,0.308,22.9,42,7
Club Olimpia Asunción,2020,Paraguay,20.18,0.504,27.5,40,9
Club Atlético Tigre,2020,Argentina,11.2,0.254,26.6,44,0
CSD Colo Colo,2020,Chile,19.85,0.462,25.4,43,8
CD Universidad Católica,2020,Chile,14.2,0.364,24.9,39,7
Independiente del Valle,2020,Ecuador,14.9,0.355,23.0,42,8
CA Peñarol,2020,Uruguay,17.85,0.425,25.7,42,6
Barcelona SC Guayaquil,2020,Ecuador,17.75,0.48,25.6,37,7
Independiente Medellín,2020,Colombia,15.2,0.38,23.7,40,6
Club Guaraní,2020,Paraguay,19.23,0.565,24.5,34,11
Club Atlético Tucumán,2020,Argentina,17.63,0.383,25.6,46,1
CD América de Cali,2020,Colombia,20.23,0.532,24.7,38,5
LDU Quito,2020,Ecuador,20.83,0.595,25.2,35,8
Bolívar La Paz,2020,Bolivia,15.48,0.387,24.9,40,11
Club Sporting Cristal,2020,Perú,8.5,0.266,23.1,32,6
The Strongest La Paz,2020,Bolivia,4.65,0.166,27.3,28,6
Universitario de Deportes,2020,Perú,8.8,0.303,24.8,29,5
